type;year;usd_bln
Adaptation;2016;10,1
Adaptation;2017;13,3
Adaptation;2018;16,9
Adaptation;2019;20,3
Adaptation;2020;28,6
Adaptation;2021;24,6
Cross-cutting;2016;6,2
Cross-cutting;2017;5,6
Cross-cutting;2018;7,1
Cross-cutting;2019;8,7
Cross-cutting;2020;6
Cross-cutting;2021;11,2
Mitigation;2016;42,2
Mitigation;2017;52,8
Mitigation;2018;55,9
Mitigation;2019;51,4
Mitigation;2020;48,6
Mitigation;2021;53,8
Total;2016;58,5
Total;2017;71,6
Total;2018;79,9
Total;2019;80,4
Total;2020;83,3
Total;2021;89,6
